domain_id	title	predict	confidence	sum_page	sum_topic	topics	truth
1	GoGo Wedding	1	1.0	11	7	['36', '1', '26', '31', '24', '45', '25']	1	https://www.gogo-wedding.com/
2	会費制の結婚式場・披露宴会場を探すなら【1.5次会.com】	1	1.0	5	3	['31', '24', '1']	1	https://www.ittengo.com/
3	ハナユメ（旧すぐ婚navi）｜結婚式場探し[Hanayume・はなゆめ]	1	1.0	41	11	['36', '29', '39', '1', '19', '24', '31', '16', '9', '13', '25']	1	https://hana-yume.net/
4	大阪市	1	1.0	11	3	['29', '13', '48']	1	http://www.city.osaka.lg.jp/
5	一休.com	1	1.0	4	3	['19', '14', '39']	1	https://restaurant.ikyu.com/
6	辞典・百科事典の検索サービス - Weblio辞書	1	1.0	14	7	['43', '14', '30', '16', '42', '38', '10']	1	https://www.weblio.jp/
7	エラー	1	1.0	20	8	['15', '0', '24', '3', '16', '4', '44', '25']	1	https://ncode.syosetu.com/
8	ねとらぼ	1	1.0	28	13	['15', '23', '29', '33', '34', '31', '25', '16', '45', '42', '12', '7', '43']	1	http://nlab.itmedia.co.jp/
9	読売オンライン	1	1.0	375	21	['34', '19', '31', '16', '9', '39', '25', '43', '15', '36', '1', '45', '48', '23', '13', '26', '22', '24', '3', '32', '21']	1	http://komachi.yomiuri.co.jp/
10	Kstyle - 韓流・韓国芸能ニュースはKstyle	1	1.0	24	14	['23', '36', '35', '1', '34', '31', '30', '3', '46', '20', '27', '4', '2', '10']	1	http://news.kstyle.com/
11	マイナビニュース	1	1.0	29	9	['23', '29', '31', '22', '30', '16', '48', '12', '21']	1	https://news.mynavi.jp/
12	marry[マリー] | プレ花嫁の為のかわいい結婚式準備アイデア	1	1.0	63	19	['18', '36', '29', '39', '1', '26', '34', '19', '24', '31', '16', '45', '42', '9', '4', '5', '13', '25', '46']	1	https://marry-xoxo.com/
13	ウーマンエキサイト	1	1.0	17	3	['14', '25', '16']	1	https://fortune.woman.excite.co.jp/
14	ウエコレ | 結婚式・結婚式場探しならウエコレ	1	1.0	20	8	['36', '1', '26', '19', '24', '17', '45', '32']	1	https://wecolle.jp/
15	今見たい番組が、ある！ navicon［ナビコン］　トップ・ページ	1	1.0	4	3	['23', '47', '12']	1	http://navicon.jp/
16	ウエディング、ブライダルなら結婚準備の総合サイト ゼクシィ	1	1.0	246	23	['31', '16', '9', '39', '25', '36', '1', '45', '48', '44', '46', '29', '37', '14', '13', '7', '18', '26', '22', '24', '17', '32', '21']	1	https://zexy.net/
17	【みんなのウェディング】	1	1.0	309	24	['19', '31', '16', '9', '39', '25', '15', '36', '1', '45', '44', '20', '46', '29', '40', '13', '7', '26', '22', '24', '17', '32', '5', '21']	1	https://www.mwed.jp/
18	wezzy｜ウェジー	1	1.0	20	6	['23', '34', '22', '16', '21', '46']	1	https://wezz-y.com/
19	ガールズちゃんねる - Girls Channel -	1	1.0	72	15	['15', '36', '23', '25', '22', '31', '3', '30', '16', '47', '27', '5', '21', '7', '46']	1	https://girlschannel.net/
20	厚生労働省	1	1.0	3	3	['14', '6', '47']	1	https://www.mhlw.go.jp/
21	withonline - 講談社公式 - | 女を磨ける 結婚できちゃう	1	1.0	25	6	['15', '1', '19', '16', '17', '5']	1	https://withonline.jp/
22	結婚指輪・婚約指輪、エンゲージリングのBIJOUPIKO（ビジュピコ）	1	1.0	17	10	['1', '26', '25', '24', '31', '16', '17', '9', '13', '7']	1	https://bijoupiko.com/
23	福岡	1	1.0	3	2	['13', '48']	1	http://www.city.fukuoka.lg.jp/
24	お役立ちNET	1	1.0	8	3	['29', '13', '48']	1	https://yakunitatta.info/
25	パートナーエージェント	1	1.0	10	4	['22', '21', '25', '16']	1	https://www.p-a.jp/
26	HappyLifeStyle - 人生の教科書	1	1.0	7	3	['15', '16', '9']	1	https://happylifestyle.com/
27	節約ブログ	1	1.0	5	4	['5', '13', '32', '26']	1	https://nomad-saving.com/
28	ピクシブ百科事典 - 同人・漫画・イラスト・二次創作に関する辞典	1	1.0	23	11	['18', '23', '29', '6', '0', '22', '3', '47', '16', '32', '5']	1	https://dic.pixiv.net/
29	【ウエディングパーク】	1	1.0	138	19	['15', '36', '29', '39', '1', '26', '25', '22', '24', '31', '16', '17', '45', '32', '9', '5', '44', '13', '7']	1	https://www.weddingpark.net/
30	NAVER まとめ[情報をデザインする。キュレーションプラットフォーム]	1	1.0	181	34	['34', '19', '30', '31', '16', '9', '38', '39', '25', '43', '15', '36', '1', '45', '42', '8', '2', '10', '46', '23', '29', '41', '33', '14', '47', '4', '13', '7', '18', '22', '24', '3', '32', '21']	1	https://matome.naver.jp/
31	リングベル	1	1.0	25	9	['36', '41', '26', '19', '24', '16', '9', '39', '25']	1	https://www.ringbell.co.jp/
32	【結婚相談所を探す・独立開業する】なら日本結婚相談所連盟 | IBJ	1	1.0	22	6	['15', '29', '22', '16', '12', '13']	1	https://www.ibjapan.com/
33	ウェディングナビ	1	1.0	22	5	['24', '45', '9', '39', '46']	1	https://party-wedding.gnavi.co.jp/
34	会費婚【公式サイト】｜会費制結婚式・1.5次会・パーティを挙げるなら	1	1.0	29	15	['15', '36', '1', '26', '31', '22', '24', '3', '16', '17', '45', '32', '9', '13', '25']	1	https://www.kaihikon.com/
35	モデルプレス - ライフスタイル・ファッションエンタメニュース	1	1.0	27	7	['23', '34', '31', '30', '16', '27', '46']	1	https://mdpr.jp/
36	EPARK iwau（イーパーク イワウ） - お祝い・記念日特別コースプラン情報 予約サイト	1	1.0	12	7	['36', '26', '19', '16', '17', '32', '39']	1	https://iwau.epark.jp/
37	ウエディング、ブライダルなら結婚準備の総合サイト ゼクシィ	1	1.0	10	6	['6', '7', '22', '16', '9', '25']	1	http://zexy.net/
38	働く女性の恋愛と幸せな人生のガイド「マイナビウーマン」	1	1.0	116	9	['13', '26', '22', '16', '32', '9', '5', '21', '25']	1	https://woman.mynavi.jp/
39	現代ビジネス | 講談社	1	1.0	38	9	['15', '34', '22', '3', '47', '16', '32', '21', '43']	1	https://gendai.ismedia.jp/
40	Yahoo!ニュース	1	1.0	59	14	['15', '23', '33', '34', '31', '22', '30', '3', '16', '27', '32', '8', '4', '46']	1	https://headlines.yahoo.co.jp/
41	SpinTheEarth｜スピン・ジ・アース - 世界がもっと楽しくなる！	1	1.0	10	8	['1', '19', '16', '17', '20', '49', '38', '2']	1	https://www.spintheearth.net/
42	俄 NIWAKA | ジュエリー・結婚指輪・婚約指輪	1	1.0	148	17	['15', '36', '39', '1', '26', '2', '31', '24', '22', '16', '45', '32', '9', '44', '13', '25', '46']	1	https://m.niwaka.com/
43	ウーマンエキサイト | 愛あるセレクトをしたいママのみかた	1	1.0	31	7	['15', '1', '3', '16', '32', '21', '25']	1	https://woman.excite.co.jp/
44	俄 NIWAKA ｜ 京都のジュエラー ハイジュエリー ジュエリー　	1	1.0	51	15	['36', '39', '6', '1', '26', '25', '24', '30', '31', '16', '27', '9', '44', '13', '7']	1	https://www.niwaka.com/
45	東海TV	1	1.0	4	3	['15', '30', '16']	1	http://tokai-tv.com/
46	【公式】栃木県小山市の結婚式場「Ｔｈｅ Ｌｉｖｅｒａｒｙ（ザ ライヴラリー）」	1	1.0	3	2	['39', '3']	1	https://www.lapolto-tl.jp/
47	女性自身［光文社女性週刊誌］	1	1.0	6	3	['34', '23', '46']	1	https://jisin.jp/
48	ウェディングニュース | プレ花嫁の結婚式準備をもっと自由に、もっと楽しく	1	1.0	38	14	['18', '36', '1', '26', '7', '31', '24', '16', '45', '8', '9', '5', '39', '25']	1	https://www.weddingnews.jp/
49	はてなダイアリー	1	1.0	7	5	['30', '3', '16', '40', '13']	1	http://d.hatena.ne.jp/
50	マダムリリー : 海外に興味がある人のための情報サイ	1	1.0	4	3	['15', '17', '16']	1	https://www.madameriri.com/
51	冠婚葬祭	1	1.0	18	7	['36', '26', '31', '24', '45', '9', '25']	1	https://www.jp-guide.net/
52	【公式】結婚式場・結婚式はオリジナルウェディングのT&amp;G	1	1.0	9	4	['24', '17', '22', '1']	1	https://www.tgn.co.jp/
53	結婚式場探しならマイナビウエディング	1	1.0	116	20	['18', '36', '29', '39', '1', '26', '25', '24', '31', '14', '22', '16', '17', '45', '32', '9', '44', '13', '7', '46']	1	https://wedding.mynavi.jp/
54	Dear[ディアー] 大切なひとと出会い、暮らす	1	1.0	4	2	['19', '16']	1	https://dear-mag.jp/
55	結婚式・結婚式場の日本最大級口コミサイト【ウエディングパーク】	1	1.0	8	5	['1', '26', '45', '39', '25']	1	https://s.weddingpark.net/
56	grape [グレイプ]	1	1.0	22	10	['15', '23', '34', '14', '3', '16', '46', '45', '5', '43']	1	https://grapee.jp/
57	結婚式・ウエディング・ブライダル情報検索サイト - ぐるなびウエディング	1	1.0	74	14	['18', '39', '1', '26', '19', '24', '47', '3', '16', '45', '9', '13', '25', '21']	1	https://wedding.gnavi.co.jp/
58	【オズモール】心ときめく“おでかけ体験”を一緒に - OZmall	1	1.0	62	9	['15', '31', '22', '24', '16', '32', '9', '39', '25']	1	http://www.ozmall.co.jp/
59	ハート電報｜フォーマルもカワイイも祝電・弔電を贈るなら	1	1.0	4	3	['36', '47', '31']	1	https://www.heart-denpo.com/
